site_code,node,site_name,site_type
JNSCAS,JDA,"Jones Creek Acc. Site, WF Hood River",MRR
JO1,JDA,John Day South Fish Ladder,INT
JO2,JDA,John Day North Fish Ladder,INT
KALA,JDA,"Kalama Falls Hatchery, WDFW",MRR
KALAMR,JDA,Kalama River,MRR
KLICKR,JDA,Klickitat River,MRR
KLIH,JDA,Klickitat Hatchery,MRR
KLR,JDA,Klickitat Riv. Floating Array,INT
LAKE2C,JDA,"Lake Creek, Metolius River watershed",MRR
LAKEBR,JDA,Lake Branch (tributary to West Fork Hood River),MRR
LASTC,JDA,Last Creek - Clackamas Subbasin,MRR
LAURLK,JDA,Laurance Lake Reservoir,MRR
LD1,JDA,Lebanon Dam South Ladder,INT
LD2,JDA,Lebanon Dam North Ladder,INT
LD3,JDA,Lebanon Dam Diversion Bypass,INT
LD4,JDA,Lebanon Dam Spillway,INT
LEA,JDA,Leaburg Dam Combined Fishways,INT
LEA,JDA,Leaburg Dam,MRR
LEAB,JDA,Leaburg Hatchery,MRR
LEABYP,JDA,LEA - Release into the Facility Bypass Flume/Pipe,MRR
LEAFBY,JDA,LEA - Release into the Forebay within 0.5 km upstream of Dam,MRR
LEATAL,JDA,LEA - Release into the Tailrace within 0.5 km downstream of Dam,MRR
LEB,JDA,Lebanon Dam,MRR
LEBFBY,JDA,LEB - Release into the Forebay within 0.5 km upstream of Dam,MRR
LEBLDS,JDA,LEB - Release into the south ladder trap.,MRR
LEL,JDA,Leaburg Dam Fish Ladders,INT
LEWCLK,JDA,"Lewis and Clark River, tributary to Youngs Bay",MRR
LEWH,JDA,Lewis River Hatchery,MRR
LEWIEF,JDA,East Fork Lewis River,MRR
LEWISP,JDA,Lewis River Release Pond,MRR
LEWISR,JDA,Lewis River,MRR
LFF,JDA,Lyle Falls Fishway,INT
LILYSL,JDA,"Lily Slough, Lower Columbia",MRR
LKLICR,JDA,Little Klickitat River,MRR
LKR,JDA,Little Klickitat River Array,INT
LMEMIS,JDA,"Little Memaloose Island, Columbia River",MRR
LMILIS,JDA,"Little Miller Island, Columbia River",MRR
LNSANR,JDA,Little North Santiam River,MRR
LOGCC,JDA,"Logging Camp Creek, Klickitat River",MRR
LOP,JDA,"Lookout Point Dam (USACE), MF Willamette River",MRR
LOPTAL,JDA,LOP - Release into the Tailrace within 0.5 km downstream of Dam,MRR
LRH,JDA,Lewis River Hatchery Returns,INT
LWL,JDA,Ltl. White Salmon NFH returns,INT
LWSALR,JDA,Little White Salmon River,MRR
LWSH,JDA,Little White Salmon National Fish Hatchery,MRR
LYLFAT,JDA,"Lyle Falls Adult Fish Trap, Klickitat River",MRR
MARI,JDA,Marion Forks Fish Hatchery,MRR
MARIOC,JDA,"Marion Creek, tributary to North Santiam River",MRR
MASON,JDA,"Mason Creek, tributary to East Fork Lewis River",MRR
MCKA2C,JDA,"McKay Creek, Crooked River",MRR
MCKE,JDA,McKenzie Hatchery,MRR
MCKER,JDA,McKenzie River,MRR
MCKESF,JDA,South Fork McKenzie River,MRR
MEG,JDA,Megler Cr.-Col. R. Estuary,INT
MEGC,JDA,"Megler Creek, tributary to Columbia River",MRR
METOLR,JDA,Metolius River,MRR
MFD,JDA,Mayfield Dam,MRR
MFDFTF,JDA,Mayfield Dam Entrance to Counting House Raceways,MRR
MFDLBN,JDA,Mayfield Dam North Louver Bay,MRR
MFDLBS,JDA,Mayfield Dam South Louver Bay,MRR
MFDSEP,JDA,Mayfield Dam Secondary Separator Downwell,MRR
MHP,JDA,Merwin Hydroeletric Project,INT
MHP,JDA,Merwin Hydroelectric Project,MRR
MHPFBY,JDA,MHP - Release into the Forebay within 0.5 km upstream of Dam,MRR
MHPTAL,JDA,MHP - Release into the Tailrace within 0.5 km downstream of Dam,MRR
MILL3C,JDA,"Mill Creek, Columbia River at The Dalles, OR",MRR
MILL4C,JDA,"Mill Creek, Lower Columbia River, Washington",MRR
MIN,JDA,"Mine Reach of Wind River, WA",INT
MINTO,JDA,Minto Fish Facility,MRR
MLAK2C,JDA,"Middle Fork Lake Creek, Metolius River watershed",MRR
MLRSNI,JDA,"Miller Sands Island, Columbia River Estuary",MRR
MOLALR,JDA,Molalla River,MRR
MOLRNF,JDA,North Fork Molalla River,MRR
MSANTR,JDA,"Middle Santiam River, Oregon",MRR
MSLA2C,JDA,"Middle Fk South Fk Lake Creek, Metolius River watershed",MRR
MTD,JDA,Mill Creek at The Dalles,INT
MUDDYP,JDA,Muddy River Acclimation Pond,MRR
MUDDYR,JDA,Muddy River - tributary to Lewis River,MRR
MULTCH,JDA,"Multnomah Channel, Columbia River",MRR
MULTMA,JDA,"Multnomah Channel Marsh, Lower Wilamette",MRR
MVF,JDA,Moving Falls Fish Ladder,INT
MVFLAP,JDA,"Moving Falls Acc. Ponds, WF Hood River",MRR
NEALC,JDA,"Neal Creek, tributary to Hood River (OR)",MRR
NSANTR,JDA,"North Santiam River, Oregon",MRR
NSB,JDA,N Santiam at Upper Bennett Dam,INT
NSCAPC,JDA,North Scappoose Creek,MRR
NSM,JDA,Minto Dam Ladder N Santiam R,INT
NSS,JDA,North Santiam at Stayton Canal,INT
OCHOCC,JDA,"Ochoco Creek, Crooked River",MRR
ONTAC,JDA,"Oneonta Creek, Lower Columbia",MRR
PANT2C,JDA,"Panther Creek (trib. to Wind River, Wash.)",MRR
PARK,JDA,Parkdale Hatchery,MRR
PD6,JDA,Columbia River Estuary rkm 68,INT
PD7,JDA,Columbia River Estuary rkm 70,INT
PEL,JDA,Pelton Dam Ladder - Deschutes,INT
PELTON,JDA,Pelton Ladder (Deschutes River) Acclimation Pond,MRR
PER,JDA,Pelton Reregulating Dam,MRR
PERAFT,JDA,PER - Adult Fish Trap,MRR
PERTAL,JDA,PER - Release into the Tailrace within 0.5 km downstream of Dam,MRR
PIER3,JDA,"Pier 3 boat yard, Port of Astoria, OR ",MRR
PINHC,JDA,Pinhead Creek - Clackamas Subbasin,MRR
PWD,JDA,"Powerdale Dam, Hood River",MRR
PWDFBY,JDA,PWD - Release into the Forebay within 0.5 km upstream of Dam,MRR
RAMSYC,JDA,"Ramsey Creek, Fifteen Mile Creek Watershed",MRR
RATTLC,JDA,Rattlesnake Creek,MRR
RBF,JDA,Round Butte Fish Xfer Facility,INT
RCX,JDA,Rattlesnake Creek Flat Plates,INT
RGRSPC,JDA,"Roger's Spring Creek, Middle Fork Hood River",MRR
RICEIS,JDA,Rice Island,MRR
ROCKC,JDA,"Rock Creek, tributary to East Fork Lewis River",MRR
ROU,JDA,Round Butte Dam,MRR
ROUFTF,JDA,ROU - Release into the Fish Transfer Facility,MRR
ROUTAL,JDA,ROU - Release into the Tailrace within 0.5 km downstream of Dam,MRR
RSSNIS,JDA,"Russian Island, Columbia River Estuary",MRR
SANTIR,JDA,"Santiam River, Oregon",MRR
SBSLMA,JDA,"Steamboat Slough Marsh, Lower Columbia",MRR
SCAPPB,JDA,"Scappoose Bay, Oregon",MRR
SCAPPC,JDA,Scappoose Creek,MRR
SCHAFC,JDA,"Schafer Creek, Klickitat River Basin",MRR
SCL,JDA,Spring Creek NFH Adult Ladder,INT
